Route,Route Type,numero_vuelo,NB/WB,Flt Desg,Eff Date,Dis Date,Freq,Fleet,Equip,Service Type,Dept Arp,Dept Time,Arvl Arp,Arrv Time,Saleable config.,demora,TA,BU,owner,Provider Catering,Centralized Cat,Icebridge,Cycle_BC/PE,Cycle_YC,Cycle_Crew,bc_serv_1,bc_serv_2,bc_serv_3,pe_serv_1,pe_serv_2,yc_serv_1,yc_serv_2,yc_serv_3,yc_serv_4,crew_serv_1,crew_serv_2,crew_serv_3,crew_serv_4,"Provider
APV","Type
APV",Centralized APV,"Service
Bar",type_pdto,Cod_letter_triptico,PRINT,BOARDING,ttl_wkly_freq,mon,tue,wed,thu,fri,sat,sun,30-sept-24,31-oct-24,30-nov-24,31-dic-24,31-ene-25,Docs prov.,1,2,3,4,5,Config. Supply Planning,Dept Arp type,Provider Catering type,BC_PE rule group,BC_PE rule,YC rule group,YC rule,TC rule group,TC rule
LIMSCL,Corporate,LA2378,NB,LA2377,9/1/2024,9/1/2024,......7,320,328,J,LIM,12:05:00 a. m.,SCL,4:40:00 a. m.,W16Y156,3:35:00,12:50:00 a. m.,REG,LP,LIM,No,No,CV,CV,CV,0,0,0,SSPY,0,HLD2,0,0,0,SS00,BF00,0,0,LIM,SH,Yes,PEC,TRIP PEC,LIM-SSPY-0-CV-TRIP PEC,LIM,LIM,1,,,,,,,X,1,0,0,0,0,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-1,YNM04B,YNM04B-1,TCLPM01,TCLPM01-1
LIMBOG,Leisure,LA2445,NB,LA2444,9/1/2024,9/8/2024,12....7,320,38R,J,LIM,12:05:00 a. m.,BOG,3:20:00 a. m.,W8Y168,3:15:00,1:50:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CSPY,0,SPM2,0,0,0,SS00,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,3,X,X,,,,,X,4,0,0,0,0,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM02,PCM02-1,YNM02,YNM02-1,TCLPM01,TCLPM01-1
LIMJFK,,LA2691,WB,LA2468,9/1/2024,10/26/2024,1234567,767,76N,J,LIM,12:05:00 a. m.,JFK,9:05:00 a. m.,J19Y211,8:00:00,4:50:00 a. m.,LH,LP,LIM,No,No,CV,CV,CV,HD00,HB00,0,0,0,FHS0,FHB1,0,0,HLBC,BF00,HB00,BF00,LIM,LH,No,LH,CM,LIM-HD00-HB00-0-CV-CM,LIM,LIM,7,X,X,X,X,X,X,X,30,26,0,0,0,LIM,0,0,0,0,0,J20Y220,HUB,HUB,BCM05,BCM05-1,YWM06C,YWM06C-1,TCLPM03,TCLPM03-1
LIMMIA,,LA2481,WB,LA2480,9/1/2024,9/30/2024,1234567,767,76N,J,LIM,12:15:00 a. m.,MIA,7:15:00 a. m.,J20Y213,6:00:00,9:50:00 a. m.,LH,LP,LIM,No,No,CV,CV,CV,HBE0,0,0,0,0,FHS0,0,0,0,HLD2,BF00,HB00,BF00,LIM,LH,No,SH,TRIP BC,LIM-HBE0-0-0-CV-TRIP BC,LIM,LIM,7,X,X,X,X,X,X,X,30,0,0,0,0,LIM,0,0,0,0,0,J20Y220,HUB,HUB,piloto,piloto,YWM05C,YWM05C-1,TCLPM03,TCLPM03-1
LIMMIA,,LA2481,WB,LA2480,10/1/2024,10/26/2024,1234567,767,76N,J,LIM,12:15:00 a. m.,MIA,7:15:00 a. m.,J20Y213,6:00:00,9:50:00 a. m.,LH,LP,LIM,No,No,CV,CV,CV,HD20,0,0,0,0,FHS0,0,0,0,HLD2,BF00,HB00,BF00,LIM,LH,No,SH,TRIP BC,LIM-HD20-0-0-CV-TRIP BC,LIM,LIM,7,X,X,X,X,X,X,X,0,26,0,0,0,LIM,0,0,0,0,0,J20Y220,HUB,HUB,BCM04,BCM04-1,YWM05C,YWM05C-1,TCLPM03,TCLPM03-1
LIMGRU,Corporate,LA3255,NB,LA8005,9/1/2024,9/5/2024,12.4..7,320,328,J,LIM,12:15:00 a. m.,GRU,7:10:00 a. m.,W16Y156,4:55:00,12:00:00 a. m.,REG,JJ,LIM,No,No,CV,CV,CV,0,0,0,SSPY,0,HLD2,0,0,0,HLDE,HB00,0,0,GRU,SH,Yes,PEC,TRIP PEC,LIM-SSPY-0-CV-TRIP PEC,GRU,GRU,4,X,X,,X,,,X,4,0,0,0,0,GRU,TARJETA EMBARQUE - DESEMBARQUE BRASIL IN,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-1,YNM04B,YNM04B-1,TCJJM02,TCJJM02-1
MIALIM,,LA2694,WB,LA2699,9/1/2024,9/30/2024,1234567,767,76N,J,MIA,12:20:00 a. m.,LIM,5:00:00 a. m.,J20Y213,5:40:00,8:30:00 a. m.,LH,LP,MIA,No,No,CV,CV,CV,HBE0,0,0,0,0,FHS0,0,0,0,HLD2,BF00,HB00,BF00,MIA,REPO,No,SH,TRIP BC,MIA-HBE0-0-0-CV-TRIP BC,SCL,MIA,7,X,X,X,X,X,X,X,30,0,0,0,0,LIM,0,0,0,0,0,J20Y220,Caterer,Caterer,piloto,piloto,YWM05C,YWM05C-1,TCLPM03,TCLPM03-1
SCLBOG,,LA0575,WB,LA0572,9/1/2024,9/6/2024,1...5.7,788,788,J,SCL,12:25:00 a. m.,BOG,5:40:00 a. m.,J30Y217,6:15:00,1:35:00 a. m.,REG,LA,SCL,No,No,CV,CV,CV,HD20,0,0,0,0,HLD0,SNA0,0,0,HLD2,HB00,BF00,0,SCL,SH,Yes,SH,TRIP BC,SCL-HD20-0-0-CV-TRIP BC,SCL,SCL,3,X,,,,X,,X,3,0,0,0,0,SCL,0,0,0,0,0,J30Y220,HUB,HUB,BCM04,BCM04-1,YWM05B,YWM05B-1,TCLAM02,TCLAM02-1
LIMUIO,Leisure,LA1454,NB,LA1424,9/1/2024,9/8/2024,1..4..7,320,3SP,J,LIM,12:30:00 a. m.,UIO,2:30:00 a. m.,W12Y162,2:00:00,6:41:00 a. m.,REG,XL,LIM,No,No,CV,CV,CV,0,0,0,CSPY,0,SPM2,0,0,0,SS00,BF00,0,0,LIM,LR,No,0,0,0,0,0,3,X,,,X,,,X,4,0,0,0,0,UIO,0,0,0,0,0,W12Y162,HUB,HUB,PCM02,PCM02-1,YNM02,YNM02-1,TCXLM01,TCXLM01-1
LIMCOR,Leisure,LA2365,NB,LA2364,9/1/2024,9/29/2024,1234.67,319,319,J,LIM,12:30:00 a. m.,COR,6:10:00 a. m.,W8Y132,3:40:00,1:55:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,SSPY,0,HLDE,0,0,0,SS00,BF00,0,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-SSPY-0-CV-TRIP PEL,LIM,LIM,6,X,X,X,X,,X,X,25,0,0,0,0,LIM,0,0,0,0,0,W12Y126,HUB,HUB,PCM03,PCM03-1,YNM04,YNM04-1,TCLPM01,TCLPM01-1
LIMBSB,Leisure,LA2403,NB,LA2402,9/1/2024,10/6/2024,......7,320,328,J,LIM,12:30:00 a. m.,BSB,6:55:00 a. m.,W12Y162,4:25:00,2:05:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,SSPY,0,HLDE,0,0,0,HLDE,HB00,BF00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-SSPY-0-CV-TRIP PEL,LIM,LIM,1,,,,,,,X,5,1,0,0,0,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-1,YNM04,YNM04-1,TCLPM02,TCLPM02-1
SCLAKL,,LA0801,WB,LA0801,9/1/2024,9/7/2024,1234567,789,789,J,SCL,12:40:00 a. m.,AKL,5:15:00 a. m.,J30Y272,12:35:00,2:15:00 a. m.,LH,LA,SCL,No,No,CV,CV,CV,HD00,HB00,0,0,0,FHD0,FHB0,0,0,HLBC,SS00,HB00,BF00,SCL,LH,No,LH,CM,SCL-HD00-HB00-0-CV-CM,SCL,SCL,7,X,X,X,X,X,X,X,7,0,0,0,0,SCL,0,0,0,0,0,J30Y274,HUB,HUB,BCM06,BCM06-1,YWM07,YWM07-1,TCLAM03,TCLAM03-1
SCLGRU,Corporate,LA8205,NB,LA8206,9/1/2024,9/7/2024,..34.67,321,31R,J,SCL,12:43:00 a. m.,GRU,5:35:00 a. m.,W8Y212,3:52:00,3:00:00 a. m.,REG,JJ,SCL,No,No,CV,CV,CV,0,0,0,SSPY,0,HLD2,0,0,0,HLDE,HB00,0,0,SCL,SH,No,PEC,TRIP PEC,SCL-SSPY-0-CV-TRIP PEC,SCL,SCL,4,,,X,X,,X,X,4,0,0,0,0,GRU,TARJETA EMBARQUE - DESEMBARQUE BRASIL IN,0,0,0,0,W12Y206,HUB,HUB,PCM03,PCM03-1,YNM04B,YNM04B-1,TCJJM02,TCJJM02-1
LIMSCL,Corporate,LA0434,NB,LA2429,9/1/2024,9/1/2024,......7,320,328,J,LIM,12:50:00 a. m.,SCL,5:25:00 a. m.,W16Y156,3:35:00,3:00:00 a. m.,REG,LP,LIM,No,No,CV,CV,CV,0,0,0,SSPY,0,HLD2,0,0,0,SS00,BF00,0,0,LIM,SH,No,PEC,TRIP PEC,LIM-SSPY-0-CV-TRIP PEC,LIM,LIM,1,,,,,,,X,1,0,0,0,0,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-1,YNM04B,YNM04B-1,TCLPM01,TCLPM01-1
LIMVVI,Leisure,LA2407,NB,LA2406,9/1/2024,9/8/2024,...4567,319,319,J,LIM,1:00:00 a. m.,VVI,4:35:00 a. m.,W8Y132,2:35:00,12:45:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CSPY,0,SPM2,0,0,0,SS00,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,4,,,,X,X,X,X,5,0,0,0,0,LIM,TARJETA EQUIPAJE Y DIVISAS BOLIVIA,0,0,0,0,W12Y126,HUB,HUB,PCM02,PCM02-1,YNM02,YNM02-1,TCLPM01,TCLPM01-1
LIMLAX,,LA2479,WB,LA2478,9/1/2024,10/26/2024,1234567,767,76N,J,LIM,1:00:00 a. m.,LAX,7:55:00 a. m.,J19Y211,8:55:00,4:10:00 a. m.,LH,LP,LIM,No,No,CV,CV,CV,LHLD,HB00,0,0,0,FHS0,FHB1,0,0,LHLD,BF00,HB00,BF00,LIM,LH,No,LH,CM,LIM-LHLD-HB00-0-CV-CM,LIM,LIM,7,X,X,X,X,X,X,X,30,26,0,0,0,LIM,0,0,0,0,0,J20Y220,HUB,HUB,BCM05,BCM05-2,YWM06C,YWM06C-1,TCLPM03,TCLPM03-1
GRUSCL,Corporate,LA8133,NB,LA8030,9/1/2024,9/7/2024,12...67,321,31R,J,GRU,1:00:00 a. m.,SCL,4:30:00 a. m.,W12Y206,4:30:00,1:05:00 a. m.,REG,JJ,GRU,No,No,CV,CV,CV,0,0,0,SSPY,0,HLD2,0,0,0,SS00,HB00,0,0,GRU,SH,Yes,PEC,TRIP PEC,GRU-SSPY-0-CV-TRIP PEC,GRU,GRU,4,X,X,,,,X,X,4,0,0,0,0,GRU,0,0,0,0,0,W12Y206,HUB,HUB,PCM03,PCM03-1,YNM04B,YNM04B-1,TCJJM02,TCJJM02-2
LIMASU,Leisure,LA1320,NB,LA1321,9/1/2024,9/8/2024,...4..7,320,38R,J,LIM,1:15:00 a. m.,ASU,5:55:00 a. m.,W12Y162,3:40:00,1:00:00 a. m.,REG,PZ,LIM,Yes,Yes,CV,CV,CV,0,0,0,SSPY,0,HLDE,0,0,0,SS00,BF00,0,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-SSPY-0-CV-TRIP PEL,LIM,LIM,2,,,,X,,,X,3,0,0,0,0,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-1,YNM04,YNM04-1,TCPZM02,TCPZM02-1
LIMMDZ,Leisure,LA2434,NB,LA2435,9/1/2024,9/29/2024,......7,320,328,J,LIM,1:15:00 a. m.,MDZ,6:55:00 a. m.,W16Y156,3:40:00,1:05:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,SSPY,0,HLDE,0,0,0,HLDE,HB00,BF00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-SSPY-0-CV-TRIP PEL,LIM,LIM,1,,,,,,,X,5,0,0,0,0,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-1,YNM04,YNM04-1,TCLPM02,TCLPM02-1
CUNLIM,Leisure,LA2073,NB,LA2457,9/1/2024,9/8/2024,12.45.7,320,328,J,CUN,1:25:00 a. m.,LIM,6:35:00 a. m.,W8Y168,5:10:00,12:00:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,SSPY,0,HLDR,0,0,0,HLDE,HB00,BF00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-SSPY-0-CV-TRIP PEL,LIM,LIM,5,X,X,,X,X,,X,6,0,0,0,0,LIM,0,0,0,0,0,W12Y162,Caterer,HUB,PCM03,PCM03-1,YNM04,YNM04-1,TCLPM02B,TCLPM02-1
LIMLPB,Leisure,LA2401,NB,LA2400,9/1/2024,9/8/2024,......7,320,328,J,LIM,1:30:00 a. m.,LPB,4:25:00 a. m.,W12Y162,1:55:00,1:05:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CSPY,0,SPM2,0,0,0,SS00,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,1,,,,,,,X,2,0,0,0,0,LIM,TARJETA EQUIPAJE Y DIVISAS BOLIVIA,0,0,0,0,W12Y162,HUB,HUB,PCM02,PCM02-1,YNM02,YNM02-1,TCLPM01,TCLPM01-1
PUJLIM,Leisure,LA2258,NB,LA2451,9/1/2024,9/4/2024,..3...7,320,328,J,PUJ,1:30:00 a. m.,LIM,5:25:00 a. m.,W12Y162,4:55:00,12:00:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,SSPY,0,HLDR,0,0,0,HLDE,HB00,BF00,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-SSPY-0-CV-TRIP PEL,LIM,LIM,2,,,X,,,,X,2,0,0,0,0,LIM,0,0,0,0,0,W12Y162,Station,HUB,PCM03,PCM03-1,YNM04,YNM04-1,TCLPM02B,TCLPM02-1
MADLIM,,LA2697,WB,LA2485,9/1/2024,10/26/2024,1234567,789,789,J,MAD,1:45:00 a. m.,LIM,6:30:00 a. m.,J30Y270,11:45:00,3:05:00 a. m.,LH,LP,MAD,No,No,CV,CV,CV,LHLD,HB00,0,0,0,FHS0,FHB0,0,0,LHLD,SS00,HB00,BF00,MAD,REPO,No,LH,CM,MAD-LHLD-HB00-0-CV-CM,LIM,LIM,7,X,X,X,X,X,X,X,30,26,0,0,0,LIM,0,0,0,0,0,J30Y274,Caterer,Caterer,BCM06,BCM06-2,YWM07,YWM07-2,TCLPM03B,TCLPM03B-1
GRULIM,Corporate,LA8040,NB,LA8004,9/1/2024,9/8/2024,1..4567,320,328,J,GRU,3:30:00 a. m.,LIM,7:00:00 a. m.,W12Y162,5:30:00,2:20:00 a. m.,REG,JJ,GRU,No,No,CV,CV,CV,0,0,0,SSPY,0,HLD2,0,0,0,SS00,HB00,0,0,GRU,SH,Yes,PEC,TRIP PEC,GRU-SSPY-0-CV-TRIP PEC,GRU,GRU,5,X,,,X,X,X,X,6,0,0,0,0,GRU,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-1,YNM04B,YNM04B-1,TCJJM02,TCJJM02-2
EZELIM,Leisure,LA2162,NB,LA2376,9/1/2024,9/7/2024,....567,320,328,J,EZE,3:45:00 a. m.,LIM,6:40:00 a. m.,W8Y168,4:55:00,12:00:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,SSPY,0,HLDR,0,0,0,SS00,BF00,0,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-SSPY-0-CV-TRIP PEL,LIM,LIM,3,,,,,X,X,X,3,0,0,0,0,LIM,0,0,0,0,0,W12Y162,Station,HUB,PCM03,PCM03-1,YNM04,YNM04-1,TCLPM01B,TCLPM01B-1
MDELIM,Leisure,LA2416,NB,LA2399,9/1/2024,9/4/2024,..3...7,319,319,J,MDE,3:50:00 a. m.,LIM,6:55:00 a. m.,W12Y126,3:05:00,2:35:00 a. m.,REG,LP,LIM,Yes,Yes,CD,CV,CV,0,0,0,CSPY,0,SPM2,0,0,0,SS00,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,2,,,X,,,,X,2,0,0,0,0,LIM,0,0,0,0,0,W12Y126,Caterer,HUB,PCM02,PCM02-1,YNM02,YNM02-1,TCLPM01,TCLPM01-1
SCLLIM,Corporate,LA2209,NB,LA2370,9/1/2024,9/1/2024,......7,319,319,J,SCL,4:15:00 a. m.,LIM,7:00:00 a. m.,W8Y132,3:45:00,12:00:00 a. m.,REG,LP,SCL,No,No,CV,CV,CV,0,0,0,HBPY,0,HBE0,0,0,0,HBPY,BF00,0,0,LIM,SH,Yes,PEC,TRIP PEC,SCL-HBPY-0-CV-TRIP PEC,LIM,LIM,1,,,,,,,X,1,0,0,0,0,LIM,0,0,0,0,0,W12Y126,HUB,HUB,PCM03,PCM03-2,YNM04B,YNM04B-2,TCLPM01,TCLPM01-2
SCLGIG,Leisure,LA0775,NB,LA0774,9/1/2024,9/1/2024,......7,321,31R,J,SCL,5:01:00 a. m.,GIG,10:05:00 a. m.,W8Y212,4:04:00,1:00:00 a. m.,REG,LA,SCL,Yes,Yes,CV,CV,CV,0,0,0,HBPY,0,HBE0,0,0,0,HBPY,BF00,0,0,SCL,SH,Yes,PEL,TRIP PEL,SCL-HBPY-0-CV-TRIP PEL,SCL,SCL,1,,,,,,,X,1,0,0,0,0,SCL,0,0,0,0,0,W12Y206,HUB,HUB,PCM03,PCM03-2,YNM04,YNM04-2,TCLAM01,TCLAM01-2
BOGLIM,Leisure,LA2458,NB,LA2445,9/1/2024,9/8/2024,12....7,320,38R,J,BOG,5:10:00 a. m.,LIM,8:05:00 a. m.,W8Y168,2:55:00,12:50:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CBPY,0,SAM2,0,0,0,HB00,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,3,X,X,,,,,X,4,0,0,0,0,LIM,0,0,0,0,0,W12Y162,OP HUB,HUB,PCM02,PCM02-2,YNM02,YNM02-2,TCLPM01,TCLPM01-2
VVILIM,Leisure,LA2384,NB,LA2407,9/1/2024,9/29/2024,..3..67,319,319,J,VVI,5:20:00 a. m.,LIM,7:00:00 a. m.,W12Y126,2:40:00,1:15:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CBPY,0,SAM2,0,0,0,HB00,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,3,,,X,,,X,X,13,0,0,0,0,LIM,0,0,0,0,0,W12Y126,Station,HUB,PCM02,PCM02-2,YNM02,YNM02-2,TCLPM01,TCLPM01-2
SCLLIM,Corporate,LA2380,NB,LA2378,9/1/2024,9/6/2024,12345.7,320,328,J,SCL,5:30:00 a. m.,LIM,8:20:00 a. m.,W12Y162,3:50:00,1:15:00 a. m.,REG,LP,SCL,No,No,CV,CV,CV,0,0,0,HBPY,0,HBE0,0,0,0,HBPY,BF00,0,0,LIM,SH,Yes,PEC,TRIP PEC,SCL-HBPY-0-CV-TRIP PEC,LIM,LIM,6,X,X,X,X,X,,X,6,0,0,0,0,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-2,YNM04B,YNM04B-2,TCLPM01,TCLPM01-2
LPBLIM,Leisure,LA2272,NB,LA2401,9/1/2024,9/8/2024,.2....7,320,328,J,LPB,5:30:00 a. m.,LIM,6:30:00 a. m.,W12Y162,2:00:00,12:00:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CBPY,0,SAM2,0,0,0,HB00,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,2,,X,,,,,X,3,0,0,0,0,LIM,0,0,0,0,0,W12Y162,Station,HUB,PCM02,PCM02-2,YNM02,YNM02-2,TCLPM01,TCLPM01-2
SCLLPB,Leisure,LA0890,NB,LA0890,9/1/2024,9/1/2024,......7,320,328,J,SCL,5:33:00 a. m.,LPB,8:34:00 a. m.,W16Y156,3:01:00,12:40:00 a. m.,REG,LA,SCL,Yes,Yes,CV,CV,CV,0,0,0,CBPY,0,SAM2,0,0,0,HB00,BF00,0,0,SCL,LR,Yes,0,0,0,0,0,1,,,,,,,X,1,0,0,0,0,SCL,TARJETA EQUIPAJE Y DIVISAS BOLIVIA,0,0,0,0,W12Y162,HUB,HUB,PCM02,PCM02-2,YNM02,YNM02-2,TCLAM01,TCLAM01-2
SCLGRU,Corporate,LA3366,NB,LA8133,9/1/2024,9/7/2024,..3.567,321,31R,J,SCL,5:35:00 a. m.,GRU,10:30:00 a. m.,W8Y212,3:55:00,12:00:00 a. m.,REG,JJ,SCL,No,No,CV,CV,CV,0,0,0,HBPY,0,HBE0,0,0,0,HBPY,HLDE,0,0,GRU,SH,Yes,PEC,TRIP PEC,SCL-HBPY-0-CV-TRIP PEC,GRU,GRU,4,,,X,,X,X,X,4,0,0,0,0,GRU,TARJETA EMBARQUE - DESEMBARQUE BRASIL IN,0,0,0,0,W12Y206,HUB,HUB,PCM03,PCM03-2,YNM04B,YNM04B-2,TCJJM02,TCJJM02-3
EZESCL,Corporate,LA0166,NB,LA0474,9/1/2024,9/1/2024,......7,321,31R,J,EZE,5:36:00 a. m.,SCL,7:00:00 a. m.,W16Y200,2:24:00,12:00:00 a. m.,REG,LA,SCL,Yes,Yes,CV,CV,CV,0,0,0,CBPY,0,SAM2,0,0,0,HB00,BF00,0,0,SCL,LR,Yes,0,0,0,0,0,1,,,,,,,X,1,0,0,0,0,SCL,0,0,0,0,0,W12Y206,Station,HUB,PCM02,PCM02-2,YNM02,YNM02-2,TCLAM01,TCLAM01-2
SLALIM,Leisure,LA2007,NB,LA2436,9/1/2024,9/29/2024,...4..7,319,319,J,SLA,5:45:00 a. m.,LIM,6:55:00 a. m.,W8Y132,3:10:00,12:00:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CBPY,0,SAM2,0,0,0,HB00,BF00,0,0,LIM,SH,Yes,0,0,0,0,0,2,,,,X,,,X,9,0,0,0,0,LIM,0,0,0,0,0,W12Y126,Station,HUB,PCM02,PCM02-2,YNM02,YNM02-2,TCLPM01,TCLPM01-2
SCLFLN,Leisure,LA0719,NB,LA0718,9/1/2024,9/4/2024,..3...7,321,31R,J,SCL,6:03:00 a. m.,FLN,10:20:00 a. m.,W12Y206,3:17:00,1:05:00 a. m.,REG,LA,SCL,Yes,Yes,CV,CV,CV,0,0,0,HBPY,0,HBE0,0,0,0,HBPY,BF00,0,0,SCL,SH,Yes,PEL,TRIP PEL,SCL-HBPY-0-CV-TRIP PEL,SCL,SCL,2,,,X,,,,X,2,0,0,0,0,SCL,TARJETA BRASIL MIGRACION PORT/ENG,0,0,0,0,W12Y206,HUB,HUB,PCM03,PCM03-2,YNM04,YNM04-2,TCLAM01,TCLAM01-2
EZEGRU,Corporate,LA3376,NB,LA8137,9/1/2024,9/22/2024,......7,321,31R,J,EZE,6:10:00 a. m.,GRU,9:05:00 a. m.,W16Y200,2:55:00,12:00:00 a. m.,REG,JJ,GRU,Yes,Yes,CV,CV,CV,0,0,0,CBPY,0,SAM2,0,0,0,HB00,0,0,0,GRU,LR,Yes,0,0,0,0,0,1,,,,,,,X,4,0,0,0,0,GRU,TARJETA EMBARQUE - DESEMBARQUE BRASIL IN,0,0,0,0,W12Y206,Station,HUB,PCM02,PCM02-2,YNM02,YNM02-2,TCJJM01,TCJJM01-3
GRUSCL,,LA0706,WB,LA0633,9/1/2024,9/6/2024,...45.7,789,789,J,GRU,6:40:00 a. m.,SCL,9:55:00 a. m.,J30Y274,4:15:00,9:20:00 a. m.,REG,LA,GRU,No,No,CV,CV,CV,HBE0,0,0,0,0,HB01,0,0,0,HBE0,BF00,0,0,SCL,SH,Yes,SH,TRIP BC,GRU-HBE0-0-0-CV-TRIP BC,GRU,GRU,3,,,,X,X,,X,3,0,0,0,0,SCL,0,0,0,0,0,J30Y274,HUB,HUB,BCM03,BCM03-3,YWM04,YWM04-2,TCLAM01,TCLAM01-2
ASULIM,Leisure,LA2369,NB,LA1320,9/1/2024,9/30/2024,1.....7,320,38R,J,ASU,6:55:00 a. m.,LIM,9:55:00 a. m.,W8Y168,4:00:00,2:20:00 a. m.,REG,PZ,LIM,Yes,Yes,CV,CV,CV,0,0,0,HBPY,0,HBER,0,0,0,HBPY,BF00,0,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-HBPY-0-CV-TRIP PEL,LIM,LIM,2,X,,,,,,X,10,0,0,0,0,LIM,0,0,0,0,0,W12Y162,Station,HUB,PCM03,PCM03-2,YNM04,YNM04-2,TCPZM02,TCPZM02-2
GRUAEP,Leisure,LA8033,NB,LA8032,9/1/2024,9/6/2024,1...5.7,320,328,J,GRU,6:55:00 a. m.,AEP,10:00:00 a. m.,W8Y168,3:05:00,12:55:00 a. m.,REG,JJ,GRU,Yes,Yes,CV,CV,CV,0,0,0,CBPY,0,SAM2,0,0,0,HB00,0,0,0,GRU,LR,Yes,0,0,0,0,0,3,X,,,,X,,X,3,0,0,0,0,GRU,0,0,0,0,0,W12Y162,HUB,HUB,PCM02,PCM02-2,YNM02,YNM02-2,TCJJM01,TCJJM01-3
SCLEZE,Corporate,LA0462,NB,LA0463,9/1/2024,9/7/2024,1234567,321,31R,J,SCL,7:00:00 a. m.,EZE,10:00:00 a. m.,W12Y206,2:00:00,1:00:00 a. m.,REG,LA,SCL,Yes,Yes,CV,CV,CV,0,0,0,CBPY,0,SAM2,0,0,0,HB00,BF00,0,0,SCL,LR,Yes,0,0,0,0,0,7,X,X,X,X,X,X,X,7,0,0,0,0,SCL,0,0,0,0,0,W12Y206,HUB,HUB,PCM02,PCM02-2,YNM02,YNM02-2,TCLAM01,TCLAM01-2
BOGMIA,Leisure,LA4401,NB,LA4400,9/1/2024,9/30/2024,124567,320,328,J,BOG,7:00:00 a. m.,MIA,11:57:00 a. m.,W12Y162,3:57:00,1:35:00 a. m.,LH,4C,BOG,No,No,CV,CV,CV,0,0,0,HBPY,0,HBE0,0,0,0,HBPY,BF00,0,0,BOG,LH,No,PEL,TRIP PEL,BOG-HBPY-0-CV-TRIP PEL,LIM,BOG,6,X,X,,X,X,X,X,26,0,0,0,0,BOG,0,0,0,0,0,W12Y162,OP HUB,OP HUB,PCM03,PCM03-2,YNM04,YNM04-2,TC4CM01,TC4CM01-2
GIGLIM,Leisure,LA2111,NB,LA2405,9/1/2024,9/6/2024,1...5.7,320,3SP,J,GIG,7:05:00 a. m.,LIM,10:45:00 a. m.,W12Y162,5:40:00,12:00:00 a. m.,REG,LP,GIG,No,No,CV,CV,CV,0,0,0,HBPY,SNK4,HBE0,SAM2,0,0,HBPY,SS00,BF00,0,GIG,SH,No,PEL,TRIP PEL,GIG-HBPY-0-CV-TRIP PEL,LIM,LIM,3,X,,,,X,,X,3,0,0,0,0,LIM,0,0,0,0,0,W12Y162,Caterer,Caterer,PCM04,PCM04-2,YNM05,YNM05-2,TCLPM02,TCLPM02-2
